COUNTRYNEW,Help,friends,comfort,science,EMP_2010,Age,Gender,Education,Subjective_Income,wbi,employment,help
United States,1,Sought Friends,1,Belief,6,78,Male,Secondary,Very Difficult to get By,High Income,Out of Workforce,Sought Therapy
United States,1,Sought Friends,1,Belief,6,69,Male,Secondary,Getting By,High Income,Out of Workforce,Sought Therapy
United States,1,Sought Friends,1,Belief,6,63,Female,Tertiary,Very Difficult to get By,High Income,Out of Workforce,Sought Therapy
United States,1,Sought Friends,1,Belief,6,72,Female,Secondary,Getting By,High Income,Out of Workforce,Sought Therapy
United States,1,Sought Friends,0,Belief,6,69,Male,Tertiary,Living Comfortably,High Income,Out of Workforce,Sought Therapy
United States,1,Sought Friends,1,Belief,1,34,Female,Tertiary,Living Comfortably,High Income,Fully Employed by employer,Sought Therapy
United States,0,Sought Friends,1,Belief,6,78,Male,Secondary,Living Comfortably,High Income,Out of Workforce,Did not seek therapy
United States,0,Did Not seek Friends,1,Belief,2,61,Male,Tertiary,Getting By,High Income,Self Employed,Did not seek therapy
United States,1,Did Not seek Friends,1,Belief,6,56,Female,Elementary or less,Getting By,High Income,Out of Workforce,Sought Therapy
United States,1,Sought Friends,1,Belief,1,44,Female,Tertiary,Living Comfortably,High Income,Fully Employed by employer,Sought Therapy
United States,1,Sought Friends,1,Belief,6,67,Male,Secondary,Getting By,High Income,Out of Workforce,Sought Therapy
United States,1,Sought Friends,1,Belief,6,19,Male,Secondary,Getting By,High Income,Out of Workforce,Sought Therapy
United States,1,Sought Friends,1,Belief,6,60,Male,Tertiary,Difficult to Get By,High Income,Out of Workforce,Sought Therapy
United States,0,Sought Friends,1,Belief,6,28,Female,Secondary,Living Comfortably,High Income,Out of Workforce,Did not seek therapy
United States,1,Sought Friends,1,Belief,1,23,Female,Secondary,Getting By,High Income,Fully Employed by employer,Sought Therapy
United States,1,Sought Friends,1,Belief,6,52,Male,Secondary,Getting By,High Income,Out of Workforce,Sought Therapy
United States,0,Did Not seek Friends,1,No Belief,1,29,Female,Secondary,Living Comfortably,High Income,Fully Employed by employer,Did not seek therapy
United States,0,Sought Friends,1,Belief,2,45,Female,Secondary,Living Comfortably,High Income,Self Employed,Did not seek therapy
United States,1,Sought Friends,1,Belief,1,58,Female,Tertiary,Living Comfortably,High Income,Fully Employed by employer,Sought Therapy
United States,1,Sought Friends,0,Belief,1,69,Female,Tertiary,Living Comfortably,High Income,Fully Employed by employer,Sought Therapy
United States,1,Sought Friends,0,Belief,6,66,Female,Secondary,Difficult to Get By,High Income,Out of Workforce,Sought Therapy
United States,0,Sought Friends,0,Belief,1,32,Male,Tertiary,Living Comfortably,High Income,Fully Employed by employer,Did not seek therapy
United States,1,Sought Friends,0,No Belief,3,69,Male,Tertiary,Getting By,High Income,"Employed Part Time, Content",Sought Therapy
United States,1,Sought Friends,1,Belief,3,19,Male,Secondary,Living Comfortably,High Income,"Employed Part Time, Content",Sought Therapy
United States,1,Sought Friends,0,Belief,1,58,Male,Secondary,Getting By,High Income,Fully Employed by employer,Sought Therapy
United States,0,Sought Friends,0,Belief,6,79,Female,Secondary,Living Comfortably,High Income,Out of Workforce,Did not seek therapy
United States,1,Did Not seek Friends,0,Belief,1,34,Male,Secondary,Getting By,High Income,Fully Employed by employer,Sought Therapy
United States,1,Sought Friends,1,Belief,1,40,Female,Tertiary,Living Comfortably,High Income,Fully Employed by employer,Sought Therapy
United States,1,Sought Friends,0,Belief,4,42,Female,Secondary,Very Difficult to get By,High Income,Unemployed,Sought Therapy
